star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
5216,6.95146087,0.7978463,0.12554259958333333,1.0,1.0,1.0,2,0.4782193631257354
5216,22.5398477,1.69009809,0.1806697075,1.0,1.0,1.0,2,5.4798418336981385
5217,0.910766953,5.26848088,0.07259340083333334,1.0,1.0,1.0,3,25.078781561651354
5217,1.62011908,4.1673842,0.06482584083333333,1.0,1.0,1.0,3,17.88438911384232
5217,3.36318663,3.49355237,0.06318621916666667,1.0,1.0,1.0,3,12.77984694623155
5218,10.2994243,1.12038038,0.18697626583333335,1.0,1.0,1.0,3,1.6866779280718496
5218,14.7372941,1.60895831,0.20539288708333334,1.0,1.0,1.0,3,3.22104316406698
5218,20.2001048,1.3443138,0.22641237333333333,1.0,1.0,1.0,3,1.1441370251338698
5425,44.6391548,2.50008692,0.25490533458333337,1.0,1.0,1.0,2,5.605158489822617
5425,322.916202,6.42527553,0.438563125,1.0,1.0,1.0,2,50.96289214517694
5473,0.963015551,1.11677531,0.08652960916666667,1.0,1.0,1.0,2,2.3949208931789525
5473,8.88471563,1.04759083,0.15595010166666667,1.0,1.0,1.0,2,0.9650677756177215
5526,9.44952446,1.61565126,0.13000912125,1.0,1.0,1.0,2,3.9497902207129587
5526,19.1796694,1.74050533,0.19139483666666668,1.0,1.0,1.0,2,5.441706437687252
5574,4.46813494,0.999851664,0.13991805958333334,1.0,1.0,1.0,2,0.8996888236341436
5574,14.7808199,1.6022558,0.16834816249999998,1.0,1.0,1.0,2,5.50000062473158
5981,2.32016415,1.12924104,0.11475806374999999,1.0,1.0,1.0,4,1.1205575858215822
5981,4.27895643,1.68357971,0.1405690175,1.0,1.0,1.0,4,4.48250186377534
5981,8.60375416,2.07551908,0.17893407541666664,1.0,1.0,1.0,4,7.644017751929734
5981,13.7614943,1.3772788,0.19810883291666667,1.0,1.0,1.0,4,2.8655845280066514
6072,7.54032123,1.17621792,0.10349024125,1.0,1.0,1.0,2,1.1124176017697827
6072,23.6851071,2.34727665,0.24638247125,1.0,1.0,1.0,2,5.579972492038872
6770,20.179336,2.29239496,0.21940748958333334,1.0,1.0,1.0,2,5.936465125027388
6770,61.582759,2.35170908,0.32348060625,1.0,1.0,1.0,2,5.527844918628865
6958,8.49701049,2.15565735,0.17843686791666666,1.0,1.0,1.0,2,6.5373582007151105
6958,14.6154206,1.76630348,0.21039359458333332,1.0,1.0,1.0,2,5.684566497756467
7132,1.9972913,2.56131302,0.10881114166666667,1.0,1.0,1.0,6,8.8658334546767
7132,3.17979065,2.09197444,0.11258398916666668,1.0,1.0,1.0,6,6.351127109997891
7132,6.22528292,2.45544092,0.11259289958333334,1.0,1.0,1.0,6,7.476093654390075
7132,9.49102619,4.2143007,0.17679900458333334,1.0,1.0,1.0,6,4.610246984268959
7132,16.8050724,2.49132788,0.11266099624999999,1.0,1.0,1.0,6,5.786004902502943
7132,32.9517883,3.10839902,0.2826465820833333,1.0,1.0,1.0,6,9.592501183377935
7323,4.42611691,2.86251136,0.12585271291666666,1.0,1.0,1.0,3,10.206697796926933
7323,7.86380035,6.12396512,0.12211890166666667,1.0,1.0,1.0,3,34.25558351082455
7323,15.8660645,4.33277405,0.14883918,1.0,1.0,1.0,3,18.030951686139048
7466,4.85443591,2.59620872,0.12272127541666666,1.0,1.0,1.0,2,7.988204631037657
7466,18.909525,2.74603115,0.07561549458333333,1.0,1.0,1.0,2,6.2519758037147835
7502,9.1515224,1.31136281,0.11524674833333333,1.0,1.0,1.0,2,2.1748061119091506
7502,23.5012369,1.64458019,0.05928268166666667,1.0,1.0,1.0,2,4.7690389221934595
7535,9.44352504,2.40843614,0.147415775,1.0,1.0,1.0,2,7.028908991140476
7535,14.2840172,3.90407005,0.16994863916666667,1.0,1.0,1.0,2,7.8551739525002
7589,4.52403025,2.68270974,0.07760222916666666,1.0,1.0,1.0,2,8.38542037228244
7589,7.29396902,2.61992813,0.10100496541666666,1.0,1.0,1.0,2,7.340666080514257
7904,5.82005101,0.964873401,0.15562813875,1.0,1.0,1.0,4,0.7465583386650357
7904,15.8324553,1.00499704,0.19781407333333334,1.0,1.0,1.0,4,0.8613747025355178
7904,28.1714848,1.97157322,0.13928930291666666,1.0,1.0,1.0,4,6.298678797982186
7904,52.6358097,1.7920662,0.3232209425,1.0,1.0,1.0,4,4.741386550467592
8086,9.47060713,1.75489955,0.14189965541666666,1.0,1.0,1.0,2,4.151063833407207
8086,15.1214776,2.06109122,0.18300408666666668,1.0,1.0,1.0,2,7.779959746554089
8247,16.5894419,1.91081043,0.20264367583333334,1.0,1.0,1.0,2,3.8464920102345506
8247,24.1290708,2.73873878,0.25167693875,1.0,1.0,1.0,2,6.0404844674494225
8254,0.604483244,1.52049054,0.07098743125,1.0,1.0,1.0,2,4.4751033801580835
8254,12.4047709,2.32934508,0.11680450958333333,1.0,1.0,1.0,2,6.210778229072213
8318,6.45623705,4.22530689,0.10073607666666667,1.0,1.0,1.0,2,8.660173820526932
8318,10.2796677,6.18011857,0.19616743749999999,1.0,1.0,1.0,2,38.75713216503898
8406,2.5416488,1.61688752,0.10220402375,1.0,1.0,1.0,2,3.1717864826668105
8406,8.67598385,1.68752396,0.16704758249999999,1.0,1.0,1.0,2,4.240538414813776
8407,7.31204115,1.95610606,0.14669949000000002,1.0,1.0,1.0,3,7.10907565144489
8407,24.2461507,3.6284472,0.20917566291666667,1.0,1.0,1.0,3,12.984385629878606
8407,31.8495995,3.73249448,0.22320650374999998,1.0,1.0,1.0,3,8.634980480088576
8482,11.4414771,3.39647872,0.09891839708333333,1.0,1.0,1.0,2,7.855707812615325
8482,53.7575338,2.5393968,0.10696384958333333,1.0,1.0,1.0,2,5.586222644339947
8739,2.93727951,1.31509934,0.10278230458333333,1.0,1.0,1.0,2,1.7197421632996353
8739,5.5521446,1.62396343,0.15286125041666668,1.0,1.0,1.0,2,4.2654564441391845
9201,7.42646922,2.80277332,0.05735893625,1.0,1.0,1.0,2,7.482906170312593
9201,12.3511926,4.16556262,0.08734078916666667,1.0,1.0,1.0,2,21.11030324835425
9297,8.69685489,3.02255395,0.06225652625,1.0,1.0,1.0,2,6.965542152643383
9297,14.4638573,4.23222426,0.17646239333333333,1.0,1.0,1.0,2,9.2258823970249
9469,11.2576827,1.46443727,0.19347314875,1.0,1.0,1.0,2,3.851986572021862
9469,15.6388264,3.54338546,0.13595484333333333,1.0,1.0,1.0,2,12.782560488314694
