target_id,star_id,planet_mass,planet_radius,clusterid,period,ecc,star_mass,star_radius,npl
15836.0,67307.0,4.137667500225125e-05,0.05484454194602424,2.0,78.47540561506887,0.012488824310854033,0.715,1.0688838,6
15836.0,67307.0,2.952721105163242e-06,0.024953803877649738,2.0,193.1810556528568,0.006987434298134464,0.715,1.0688838,6
15898.0,64062.0,2.3455857120602488e-05,0.0352650241767854,1.0,4.6185815296144,0.032370886663506675,1.0,1.4618063,6
15898.0,64062.0,4.494166508088715e-05,0.03340043660110616,1.0,13.749891942672942,0.003661531420591446,1.0,1.4618063,6
15898.0,64062.0,2.3943390932576866e-05,0.034165793365558174,1.0,20.77037307945236,0.021239387991231547,1.0,1.4618063,6
15898.0,64062.0,6.642394144568278e-06,0.02863104158836214,1.0,47.747291281243804,0.04532859256571611,1.0,1.4618063,6
15898.0,64062.0,1.3145115353657053e-05,0.03203367168982785,1.0,118.26181099911206,0.02273140107633716,1.0,1.4618063,6
15898.0,64062.0,5.113856105624738e-05,0.02534964931295755,1.0,272.557589609765,0.03464984383939256,1.0,1.4618063,6
15919.0,5830.0,6.06182338149791e-06,0.008766693047027612,2.0,5.650890783613405,0.0028337356145104312,0.907,0.9337707,6
15919.0,5830.0,2.822804512860073e-06,0.010235932222990182,2.0,8.374697330964395,0.012871694724085414,0.907,0.9337707,6
15919.0,5830.0,1.4264317266825083e-05,0.008966818745496208,2.0,27.70491938002112,0.012579690138819584,0.907,0.9337707,6
15919.0,5830.0,4.206559614232376e-06,0.007898556216742708,1.0,60.21390623046051,0.01843199296072686,0.907,0.9337707,6
15919.0,5830.0,3.2955967692329966e-05,0.019103065540061328,1.0,122.21555304579135,0.03315716524574511,0.907,0.9337707,6
15919.0,5830.0,4.947259564539958e-06,0.010353708554688609,1.0,186.3486048972475,0.011928301279326998,0.907,0.9337707,6
15932.0,66689.0,3.450038138815828e-05,0.01573574733248471,1.0,29.051583118962473,0.04079254198461539,0.821,0.993616,3
15932.0,66689.0,1.836190128270192e-05,0.02964623955692323,1.0,104.2222051077755,0.03333799093413582,0.821,0.993616,3
15932.0,66689.0,2.4440364699528118e-05,0.016434231994526646,1.0,256.60571277613326,0.07366877401777018,0.821,0.993616,3
16048.0,49843.0,2.6560562224980415e-05,0.024457333220988413,2.0,3.43952283563962,0.06497737161865627,0.863,0.9713287,8
16048.0,49843.0,5.960882049110611e-05,0.038297284307372295,2.0,6.262761744975442,0.046273392778357396,0.863,0.9713287,8
16048.0,49843.0,1.6327728673520738e-05,0.04151555076281373,1.0,11.646069413266028,0.03309435524086253,0.863,0.9713287,8
16048.0,49843.0,1.0736306681576966e-05,0.05005248738446845,2.0,24.90320622536205,0.02861006722856425,0.863,0.9713287,8
16048.0,49843.0,3.6070470553505264e-06,0.05895389319315313,1.0,41.62625292116001,0.03286248838285639,0.863,0.9713287,8
16048.0,49843.0,7.819484952659362e-06,0.036606319985960055,1.0,86.47187839592937,0.04671371755935821,0.863,0.9713287,8
16048.0,49843.0,2.1713658837224553e-05,0.051881296148194145,1.0,129.64984165157844,0.031855589451207623,0.863,0.9713287,8
16048.0,49843.0,1.6388123436784434e-05,0.03985345921265791,1.0,189.1476171269518,0.013173386851878986,0.863,0.9713287,8
16051.0,52738.0,9.619460653773496e-06,0.04055526028797969,1.0,5.5559249951020435,0.03806209167633421,1.036,1.4977264,6
16051.0,52738.0,4.500279198729395e-05,0.043996833541373806,1.0,9.30258066037963,0.026748449421208367,1.036,1.4977264,6
16051.0,52738.0,1.521645254794802e-05,0.037808935896347824,1.0,29.533956950469822,0.01741329223021484,1.036,1.4977264,6
16051.0,52738.0,4.7637870095443664e-05,0.03685315204600394,1.0,69.26325856621742,0.03697218700757061,1.036,1.4977264,6
16051.0,52738.0,1.4394073375286273e-05,0.02871869207838262,1.0,125.98277247781805,0.05975960807545383,1.036,1.4977264,6
16051.0,52738.0,3.234891734826539e-05,0.026979998757079172,1.0,247.65633116426406,0.013263327490080882,1.036,1.4977264,6
16106.0,59349.0,4.078272624058128e-05,0.015563868488059178,1.0,5.431906785328784,0.021726471647422387,1.072,1.3317218,5
16106.0,59349.0,6.081940116172533e-06,0.04104571132569936,1.0,11.014744325033488,0.025155407615145765,1.072,1.3317218,5
16106.0,59349.0,4.792503913586088e-05,0.04425374025819612,1.0,31.49728548292018,0.03871301521670578,1.072,1.3317218,5
16106.0,59349.0,1.0287843832214434e-05,0.0380942252491024,1.0,86.88788979016431,0.025160973111127097,1.072,1.3317218,5
16106.0,59349.0,2.3205252770432575e-05,0.033052212463280085,1.0,176.8350643796263,0.010705981449691298,1.072,1.3317218,5
