# starID,Period_days,Radius_earth,Duration_hours
8407,7.31204115e+00,1.95610606e+00,3.52078776e+00
8407,2.42461507e+01,3.62844720e+00,5.02021591e+00
8407,3.18495995e+01,3.73249448e+00,5.35695609e+00
8448,1.76758204e+00,1.97618984e+00,1.38334307e+00
8482,1.14414771e+01,3.39647872e+00,2.37404153e+00
8482,5.37575338e+01,2.53939680e+00,2.56713239e+00
8497,2.91230117e+01,4.05899410e+00,6.56615130e+00
8516,3.80201985e-01,4.95332547e-01,5.45734433e-01
8724,8.29620436e-01,3.14958152e+00,2.01398723e+00
8739,2.93727951e+00,1.31509934e+00,2.46677531e+00
8739,5.55214460e+00,1.62396343e+00,3.66867001e+00
8806,4.43373861e+00,1.01665618e+00,2.15454777e+00
8811,8.69713954e+00,1.39198534e+00,2.92684121e+00
8876,1.13688511e+01,1.21114006e+00,2.33387227e+00
8893,8.02383322e+00,1.12881286e+00,3.97776051e+00
8898,1.79641013e+00,1.95120572e+00,1.30714983e+00
8952,8.53467768e+00,1.00304405e+00,2.36697198e+00
8961,7.82761174e+00,9.64741395e-01,1.81754763e+00
8979,1.09264128e+01,1.02083917e+00,3.15559846e+00
8996,5.57758328e+01,2.29175553e+00,6.63367211e+00
9070,3.07548095e+01,2.27422741e+00,2.88372854e+00
9118,1.56876345e+01,3.03532389e+00,4.05140690e+00
9201,7.42646922e+00,2.80277332e+00,1.37661447e+00
9201,1.23511926e+01,4.16556262e+00,2.09617894e+00
9251,3.12568499e+01,1.17780992e+00,4.19447850e+00
9256,5.50713140e+01,5.37374604e+00,7.53325837e+00
9266,2.42781760e+01,1.21274568e+00,4.45986491e+00
9279,9.41573787e+00,9.17417880e-01,3.52773030e+00
9297,8.69685489e+00,3.02255395e+00,1.49415663e+00
9297,1.44638573e+01,4.23222426e+00,4.23509744e+00
9321,2.35916455e+00,2.20386329e+00,2.72653405e+00
9356,2.49653126e+01,2.16819722e+00,5.44850139e+00
9404,8.20193373e+00,1.53860087e+00,2.10742111e+00
9433,1.58865669e+01,6.88124391e-01,2.98723390e+00
9434,2.15607833e+00,1.74942997e+00,7.64230951e-01
9456,9.33649650e-01,1.71416848e+00,2.05050385e+00
9469,1.12576827e+01,1.46443727e+00,4.64335557e+00
9469,1.56388264e+01,3.54338546e+00,3.26291624e+00
9490,2.06735064e-01,2.47557843e+00,1.13870109e+00
9490,3.01608828e-01,2.25244438e+00,1.09693004e+00
9490,5.76120120e-01,2.43294906e+00,5.31191980e-01
9509,1.16426415e+01,1.63108659e+00,2.75567007e+00
9532,4.52747545e+00,7.29404888e-01,3.42308019e+00
9539,7.74560822e+00,2.76954196e+00,3.78247179e+00
9639,4.74816631e+00,1.17393830e+00,3.01483067e+00
9640,2.54763970e+01,1.38384421e+00,6.12732450e+00
9701,5.71793087e+00,2.51087521e+00,2.49937977e+00
9701,1.55850308e+01,2.32670065e+00,2.89364957e+00
9701,3.80430475e+01,1.92557238e+00,7.02036253e+00
9705,7.78149180e+00,7.09349915e+00,3.14890042e+00
9737,5.52536081e+00,2.26818503e+00,3.65900231e+00
9737,9.12792866e+00,3.22573618e+00,4.42089354e+00
9737,2.64924639e+01,6.86255836e+00,6.37512051e+00
9752,4.77171919e+00,1.64480328e+00,3.01990167e+00
9789,2.45408250e+00,1.58304667e+00,1.91224308e+00
9792,1.47756534e+00,1.21397464e+00,2.36799368e+00
9800,1.51264280e+00,1.91804555e+00,4.99809931e-01
9825,3.41554727e+01,1.05794426e+00,4.92443119e+00
9825,1.56849560e+02,1.78654663e+00,5.63512344e+00
9827,3.96020923e-01,1.41772517e+00,1.33567922e+00
9827,6.51466746e-01,1.38072963e+00,1.30699215e+00
9827,1.08135094e+00,1.30646402e+00,5.99288211e-01
9838,2.80970876e+01,7.19691398e-01,4.72751347e+00
9895,1.85234640e+00,2.29975609e+00,2.56964804e+00
9908,2.57256978e+00,1.12120100e+00,1.87004486e+00
9961,4.35827265e+00,1.65131682e+00,2.95623271e+00
9961,7.06763879e+00,1.76639931e+00,3.57963568e+00
9994,3.87398188e+00,9.05363579e-01,2.80429061e+00
10004,6.77362945e+00,1.19859560e+00,3.93664860e+00
10004,1.15209871e+01,2.36785639e+00,4.63123136e+00
10015,3.72084164e+00,2.35741600e+00,2.02039476e+00
10063,4.84881709e+00,3.07679752e+00,3.53077793e+00
10085,1.05887954e+01,9.37399987e-01,3.51237751e+00
10133,3.30818876e+00,2.06922724e+00,2.45334610e+00
10135,3.84100336e+01,1.81330553e+00,5.95666595e+00
10213,7.35996439e+01,2.19459912e+00,8.05690626e+00
10226,5.16292980e+00,1.68198062e+00,3.52771722e+00
10255,2.01410614e+01,4.06370338e+00,5.53258150e+00
10266,6.97515515e+01,1.73808189e+00,6.94012933e+00
10268,7.46045442e+00,1.02072863e+00,3.95666541e+00
10300,5.80296892e+00,2.19085134e+00,2.56071338e+00
10375,3.38400001e+00,1.03671946e+00,2.80645298e+00
10375,7.56703007e+00,1.75496371e+00,2.27018259e+00
10412,5.11231230e+01,7.37006200e+00,8.08748222e+00
10451,1.71054473e+00,1.20246642e+00,1.47145677e+00
10452,4.53800841e-01,6.79125357e-01,5.62679111e-01
10471,7.08460439e+00,1.25530709e+00,3.34877049e+00
10471,1.27788957e+01,1.46770299e+00,3.60537576e+00
10507,7.88449835e-01,1.72676084e+00,1.95168056e+00
10507,4.36548334e+00,2.00612522e+00,3.42193226e+00
10507,1.79894443e+01,2.92980023e+00,5.14738841e+00
10521,2.11256177e+00,1.22247356e+00,2.65708534e+00
10521,3.12164193e+00,1.10314498e+00,2.47738710e+00
10521,6.20569152e+00,1.35371543e+00,3.58848627e+00
10521,1.03794231e+01,1.44686723e+00,4.20541980e+00
10523,6.46990174e+00,1.70607362e+00,3.05706744e+00
